time	cwnd
1619575577.546349	10.0
1619575577.586798	10.0
1619575577.600788	10.0
1619575577.614794	10.0
1619575577.628784	20.0
1619575577.643791	28.0
1619575577.65978	40.0
1619575577.67486	56.0
1619575577.692791	66.0
1619575577.707794	48.0
1619575577.722922	39.0
1619575577.737306	33.0
1619575577.751814	31.0
1619575577.76649	30.0
1619575577.781811	28.0
1619575577.795823	30.0
1619575577.809557	30.0
1619575577.823811	21.0
1619575577.837815	16.0
1619575577.851893	16.0
1619575577.867826	16.0
1619575577.882854	17.0
1619575577.897395	18.0
1619575577.910865	18.0
1619575577.925211	19.0
1619575577.941864	20.0
1619575577.958013	20.0
1619575577.972376	21.0
1619575577.986871	21.0
1619575578.000784	22.0
1619575578.022943	23.0
1619575578.03686	23.0
1619575578.052847	24.0
1619575578.066879	24.0
1619575578.080929	25.0
1619575578.094799	25.0
1619575578.110883	26.0
1619575578.124897	26.0
1619575578.139918	27.0
1619575578.156959	27.0
1619575578.172937	28.0
1619575578.18821	28.0
1619575578.202737	29.0
1619575578.216885	29.0
1619575578.231652	29.0
1619575578.24646	30.0
1619575578.26189	30.0
1619575578.276897	31.0
1619575578.291069	31.0
1619575578.305963	31.0
1619575578.320894	32.0
1619575578.335906	32.0
1619575578.34991	33.0
1619575578.363902	33.0
1619575578.377907	33.0
1619575578.391956	30.0
1619575578.406973	24.0
1619575578.421933	19.0
1619575578.435927	16.0
1619575578.449944	16.0
1619575578.464519	17.0
1619575578.47796	18.0
1619575578.492945	18.0
1619575578.50768	19.0
1619575578.521684	20.0
1619575578.536593	20.0
1619575578.550004	21.0
1619575578.565581	21.0
1619575578.57953	22.0
1619575578.594499	22.0
1619575578.608996	23.0
1619575578.623091	23.0
1619575578.637639	24.0
1619575578.651001	24.0
1619575578.665005	25.0
1619575578.679661	25.0
1619575578.69444	26.0
1619575578.70908	26.0
1619575578.723166	27.0
1619575578.737039	27.0
1619575578.751023	28.0
1619575578.765339	28.0
1619575578.779402	28.0
1619575578.794317	29.0
1619575578.810051	29.0
1619575578.825188	30.0
1619575578.838655	30.0
1619575578.853376	30.0
1619575578.868113	31.0
1619575578.882878	31.0
1619575578.896877	32.0
1619575578.910788	32.0
1619575578.924777	27.0
1619575578.938737	22.0
1619575578.952279	16.0
1619575578.966281	16.0
1619575578.98005	17.0
1619575578.994561	17.0
1619575579.010065	18.0
1619575579.024324	19.0
1619575579.038383	19.0
1619575579.052261	20.0
1619575579.066771	20.0
1619575579.080616	21.0
1619575579.094696	22.0
1619575579.109419	22.0
1619575579.123847	23.0
1619575579.137313	23.0
1619575579.151131	24.0
1619575579.164456	24.0
1619575579.178515	25.0
1619575579.193148	25.0
1619575579.207921	26.0
1619575579.222681	26.0
1619575579.236456	26.0
1619575579.250307	27.0
1619575579.264538	27.0
1619575579.278075	28.0
1619575579.292475	28.0
1619575579.306315	29.0
1619575579.319763	29.0
1619575579.334353	29.0
1619575579.348336	30.0
1619575579.363362	30.0
