1619607333.208259, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:4294800332 lastrcv:4294800332 lastack:4294800332 unacked:1 rcv_ssthresh:42340
1619607333.241647, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:4294800348 lastrcv:4294800348 lastack:4294800348 unacked:1 rcv_ssthresh:42340
1619607333.255988, 	 reno wscale:8,9 rto:248 rtt:44.201/22.1 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.6Mbps pacing_rate 5.2Mbps delivered:1 unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:44.201
1619607333.269747, 	 reno wscale:8,9 rto:248 rtt:44.201/22.1 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.6Mbps lastsnd:16 lastrcv:16 lastack:16 pacing_rate 5.2Mbps delivered:1 busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:44.201
1619607333.283720, 	 reno wscale:8,9 rto:240 rtt:37.718/18.891 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 bytes_sent:31856 bytes_acked:8689 segs_out:24 segs_in:4 data_segs_out:22 send 4.9Mbps lastsnd:4 lastrcv:28 lastack:4 pacing_rate 9.8Mbps delivery_rate 2.7Mbps delivered:7 app_limited busy:28ms unacked:16 rcv_space:14480 rcv_ssthresh:42242 notsent:78192 minrtt:22.722
1619607333.298751, 	 reno wscale:8,9 rto:236 rtt:34.38/13.392 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 bytes_sent:49232 bytes_acked:17377 segs_out:36 segs_in:7 data_segs_out:34 send 7.4Mbps lastrcv:44 pacing_rate 14.8Mbps delivery_rate 5.1Mbps delivered:13 busy:44ms unacked:22 rcv_space:14480 rcv_ssthresh:42242 notsent:60816 minrtt:22.164
1619607333.313768, 	 reno wscale:8,9 rto:232 rtt:30.196/4.487 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:36 bytes_sent:89776 bytes_acked:37649 segs_out:64 segs_in:14 data_segs_out:62 send 13.8Mbps lastrcv:60 pacing_rate 27.6Mbps delivery_rate 6.8Mbps delivered:27 busy:60ms unacked:36 rcv_space:14480 rcv_ssthresh:42242 notsent:52128 minrtt:22.164
1619607333.329839, 	 reno wscale:8,9 rto:232 rtt:28.798/2.961 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:50 bytes_sent:127424 bytes_acked:57921 segs_out:90 segs_in:21 data_segs_out:88 send 20.1Mbps lastrcv:76 pacing_rate 40.2Mbps delivery_rate 9.3Mbps delivered:41 busy:76ms unacked:48 rcv_space:14480 rcv_ssthresh:42242 notsent:317112 minrtt:21.98
1619607333.344874, 	 reno wscale:8,9 rto:232 rtt:31.291/3.929 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:60 bytes_sent:157832 bytes_acked:72401 segs_out:111 segs_in:26 data_segs_out:109 send 22.2Mbps lastsnd:4 lastrcv:92 lastack:4 pacing_rate 44.4Mbps delivery_rate 9.6Mbps delivered:51 busy:92ms unacked:59 rcv_space:14480 rcv_ssthresh:42242 notsent:286704 minrtt:21.98
1619607333.359914, 	 reno wscale:8,9 rto:236 rtt:35.551/4.811 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:62 ssthresh:34 bytes_sent:185344 bytes_retrans:1448 bytes_acked:83985 segs_out:130 segs_in:32 data_segs_out:128 send 20.2Mbps lastrcv:104 pacing_rate 27.0Mbps delivery_rate 10.1Mbps delivered:63 busy:104ms unacked:69 retrans:1/1 lost:4 sacked:4 rcv_space:14480 rcv_ssthresh:42242 notsent:260640 minrtt:21.98
1619607333.374998, 	 reno wscale:8,9 rto:240 rtt:37.77/3.532 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:47 ssthresh:34 bytes_sent:195480 bytes_retrans:11584 bytes_acked:83985 segs_out:137 segs_in:37 data_segs_out:135 send 14.4Mbps lastsnd:4 lastrcv:120 lastack:4 pacing_rate 25.4Mbps delivery_rate 10.1Mbps delivered:76 busy:120ms unacked:69 retrans:8/8 lost:13 sacked:17 rcv_space:14480 rcv_ssthresh:42242 notsent:260640 minrtt:21.98
1619607333.388923, 	 reno wscale:8,9 rto:244 rtt:40.826/5.314 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:38 ssthresh:34 bytes_sent:204168 bytes_retrans:20272 bytes_acked:83985 segs_out:143 segs_in:41 data_segs_out:141 send 10.8Mbps lastsnd:4 lastrcv:136 lastack:4 pacing_rate 23.5Mbps delivery_rate 9.8Mbps delivered:88 busy:136ms unacked:69 retrans:14/14 lost:16 sacked:29 rcv_space:14480 rcv_ssthresh:42242 notsent:456120 minrtt:21.98
1619607333.404948, 	 reno wscale:8,9 rto:248 rtt:45.922/7.15 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:34 bytes_sent:220096 bytes_retrans:27512 bytes_acked:83985 segs_out:154 segs_in:46 data_segs_out:152 send 7.1Mbps lastsnd:4 lastrcv:152 lastack:4 pacing_rate 22.7Mbps delivery_rate 10.1Mbps delivered:103 busy:152ms unacked:75 retrans:19/19 lost:22 sacked:44 rcv_space:14480 rcv_ssthresh:42242 notsent:447432 minrtt:21.98
1619607333.418993, 	 reno wscale:8,9 rto:248 rtt:45.922/7.15 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:21 ssthresh:34 bytes_sent:233128 bytes_retrans:40544 bytes_acked:83985 segs_out:163 segs_in:54 data_segs_out:161 send 5.3Mbps lastrcv:164 pacing_rate 22.7Mbps delivery_rate 6.0Mbps delivered:112 busy:164ms unacked:75 retrans:15/28 lost:16 sacked:53 rcv_space:14480 rcv_ssthresh:42242 notsent:447432 minrtt:21.98
1619607333.433014, 	 reno wscale:8,9 rto:240 rtt:37.166/8.372 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 ssthresh:34 bytes_sent:249056 bytes_retrans:43440 bytes_acked:83985 segs_out:174 segs_in:62 data_segs_out:172 send 6.2Mbps lastrcv:176 pacing_rate 31.0Mbps delivery_rate 4.6Mbps delivered:123 busy:176ms unacked:84 retrans:11/30 lost:11 sacked:64 rcv_space:14480 rcv_ssthresh:42242 notsent:434400 minrtt:21.98
1619607333.447049, 	 reno wscale:8,9 rto:232 rtt:29.487/7.2 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:34 ssthresh:34 bytes_sent:286704 bytes_retrans:43440 bytes_acked:195481 segs_out:200 segs_in:74 data_segs_out:198 send 13.4Mbps lastrcv:192 pacing_rate 16.0Mbps delivery_rate 9.3Mbps delivered:136 busy:192ms unacked:33 retrans:0/30 rcv_space:14480 rcv_ssthresh:42242 notsent:461912 minrtt:21.98
1619607333.462032, 	 reno wscale:8,9 rto:228 rtt:26.493/3.481 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:34 ssthresh:34 bytes_sent:304080 bytes_retrans:43440 bytes_acked:211409 segs_out:212 segs_in:81 data_segs_out:210 send 14.9Mbps lastsnd:4 lastrcv:208 lastack:4 pacing_rate 17.8Mbps delivery_rate 10.4Mbps delivered:147 busy:208ms unacked:34 retrans:0/30 rcv_space:14480 rcv_ssthresh:42242 notsent:444536 minrtt:21.98
1619607333.476092, 	 reno wscale:8,9 rto:232 rtt:30.948/6.296 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:34 ssthresh:34 bytes_sent:320008 bytes_retrans:43440 bytes_acked:225889 segs_out:223 segs_in:87 data_segs_out:221 send 12.7Mbps lastrcv:220 pacing_rate 15.3Mbps delivery_rate 9.6Mbps delivered:158 busy:220ms unacked:35 retrans:0/30 sacked:1 rcv_space:14480 rcv_ssthresh:42242 notsent:428608 minrtt:21.98
1619607333.490075, 	 reno wscale:8,9 rto:236 rtt:33.633/1.875 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 ssthresh:17 bytes_sent:330144 bytes_retrans:52128 bytes_acked:225889 segs_out:230 segs_in:96 data_segs_out:228 send 7.6Mbps lastrcv:236 pacing_rate 14.9Mbps delivery_rate 9.5Mbps delivered:170 busy:236ms unacked:36 retrans:6/36 lost:7 sacked:13 rcv_space:14480 rcv_ssthresh:42242 notsent:427160 minrtt:21.98
