time	bandwidth
0.0	35.1
0.1	15.6
0.2	20.9
0.3	5.21
0.4	10.4
0.5	10.4
0.6	10.4
0.7	10.4
0.8	5.21
0.9	10.4
1.0	10.4
1.1	10.4
1.2	5.21
1.3	10.4
1.4	10.4
1.5	10.4
1.6	10.4
1.7	5.21
1.8	10.4
1.9	10.4
2.0	10.4
2.1	15.6
2.2	5.21
2.3	10.4
2.4	10.4
2.5	10.4
2.6	10.4
2.7	5.21
2.8	10.4
2.9	10.4
3.0	5.21
3.1	10.4
3.2	10.4
3.3	10.4
3.4	5.21
3.5	10.4
3.6	10.4
3.7	15.6
3.8	5.21
3.9	10.4
4.0	10.4
4.1	5.21
4.2	10.4
4.3	10.4
4.4	10.4
4.5	5.21
4.6	15.6
4.7	10.4
4.8	0.0
4.9	15.6
5.0	10.4
5.1	10.4
5.2	5.21
5.3	10.4
5.4	10.4
5.5	10.4
5.6	10.4
5.7	5.21
5.8	10.4
5.9	10.4
6.0	10.4
6.1	10.4
6.2	5.21
6.3	10.4
6.4	10.4
6.5	15.6
6.6	5.21
6.7	10.4
6.8	10.4
6.9	10.4
7.0	5.21
7.1	10.4
7.2	10.4
7.3	5.21
7.4	10.4
7.5	10.4
7.6	10.4
7.7	15.6
7.8	5.21
7.9	10.4
8.0	10.4
8.1	10.4
8.2	10.4
8.3	5.21
8.4	10.4
8.5	10.4
8.6	10.4
8.7	5.21
8.8	10.4
8.9	10.4
9.0	10.4
9.1	5.21
9.2	10.4
9.3	10.4
9.4	10.4
9.5	10.4
9.6	10.4
9.7	10.4
9.8	5.21
9.9	10.4
10.0	10.4
10.1	10.4
10.2	5.21
10.3	10.4
10.4	10.4
10.5	10.4
10.6	5.21
10.7	10.4
10.8	10.4
10.9	10.4
11.0	10.4
11.1	5.21
11.2	15.6
11.3	10.4
11.4	10.4
11.5	5.21
11.6	10.4
11.7	10.4
11.8	10.4
11.9	5.21
12.0	10.4
12.1	10.4
12.2	10.4
12.3	5.21
12.4	10.4
12.5	10.4
12.6	5.21
12.7	10.4
12.8	10.4
12.9	10.4
13.0	10.4
13.1	10.4
13.2	10.4
13.3	10.4
13.4	5.21
13.5	10.4
13.6	10.4
13.7	10.4
