time	rtt
1619575688.394232	44.0
1619575688.544499	85.0
1619575688.733331	274.0
1619575699.215479	170.0
1619575699.490366	173.0
1619575699.768278	177.0
1619575700.048858	177.0
1619575700.330266	180.0
1619575700.613758	180.0
1619575700.897638	184.0
1619575701.185407	186.0
1619575701.475237	188.0
1619575701.766346	189.0
1619575702.060309	190.0
1619575702.354064	193.0
1619575702.650675	197.0
1619575702.950865	198.0
1619575703.252648	197.0
1619575703.552746	202.0
1619575703.858029	201.0
1619575704.161705	204.0
1619575704.469425	205.0
1619575704.778056	206.0
1619575705.088581	209.0
1619575705.40084	211.0
1619575705.715049	213.0
1619575706.031443	214.0
1619575706.347883	216.0
1619575706.667787	220.0
1619575706.991911	220.0
1619575707.315886	222.0
1619575707.641434	223.0
1619575707.967758	225.0
1619575708.296837	227.0
1619575708.627802	229.0
1619575708.959632	231.0
1619575709.29489	232.0
1619575709.631093	232.0
1619575709.968018	234.0
1619575710.305066	238.0
1619575710.647505	238.0
1619575710.988639	240.0
1619575711.332233	244.0
1619575711.679004	245.0
1619575712.027459	245.0
1619575712.3761	247.0
1619575712.726443	252.0
1619575713.082948	209.0
1619575713.395796	127.0
1619575713.626134	130.0
1619575713.859216	130.0
1619575714.093856	133.0
1619575714.329019	136.0
1619575714.568084	138.0
1619575714.809909	138.0
1619575715.052388	142.0
1619575715.297201	142.0
1619575715.543387	145.0
1619575715.791672	147.0
1619575716.042301	151.0
1619575716.296708	149.0
1619575716.549909	153.0
1619575716.805863	156.0
1619575717.065317	157.0
1619575717.325196	159.0
1619575717.58834	163.0
1619575717.85504	165.0
1619575718.123988	166.0
1619575718.394155	169.0
1619575718.667122	169.0
1619575718.940828	172.0
1619575719.216984	174.0
1619575719.495132	173.0
1619575719.771287	177.0
1619575720.051462	179.0
1619575720.33477	181.0
1619575720.619186	182.0
1619575720.904148	185.0
1619575721.193285	190.0
1619575721.486721	188.0
1619575721.778165	192.0
1619575722.073972	192.0
1619575722.369347	196.0
1619575722.668951	194.0
1619575722.967398	198.0
1619575723.269989	200.0
1619575723.573875	201.0
1619575723.878563	203.0
1619575724.185648	204.0
1619575724.493111	208.0
1619575724.80596	209.0
1619575725.119592	209.0
1619575725.43204	211.0
1619575725.746786	213.0
1619575726.062839	216.0
1619575726.383309	218.0
1619575726.705274	219.0
1619575727.027842	222.0
1619575727.352777	223.0
1619575727.679302	223.0
1619575728.006738	227.0
1619575728.339685	229.0
1619575728.67307	231.0
1619575729.006968	233.0
1619575729.343021	235.0
1619575729.681607	234.0
1619575730.020373	236.0
1619575730.360308	239.0
1619575730.702608	241.0
1619575731.047386	241.0
1619575731.392532	245.0
1619575731.742746	246.0
1619575732.092716	246.0
1619575732.442922	250.0
1619575732.797025	252.0
1619575733.160013	200.0
1619575733.463643	127.0
1619575733.69434	132.0
1619575733.929574	129.0
1619575734.163412	133.0
1619575734.400142	137.0
1619575734.64156	138.0
1619575734.882694	138.0
1619575735.124273	142.0
1619575735.368993	146.0
1619575735.619842	148.0
1619575735.872051	147.0
1619575736.122227	150.0
1619575736.376174	155.0
1619575736.635785	154.0
1619575736.892444	157.0
1619575737.154208	159.0
1619575737.416075	159.0
1619575737.679097	165.0
1619575737.947678	166.0
1619575738.217131	167.0
1619575738.488611	170.0
1619575738.763347	170.0
1619575739.037004	173.0
1619575739.314181	175.0
1619575739.593603	177.0
1619575739.873349	180.0
1619575740.156624	179.0
1619575740.439552	182.0
1619575740.725641	185.0
1619575741.01398	186.0
1619575741.303771	189.0
1619575741.596117	191.0
1619575741.891499	191.0
1619575742.185687	192.0
1619575742.481805	196.0
1619575742.781459	198.0
1619575743.083826	201.0
1619575743.387528	200.0
1619575743.690977	204.0
1619575743.997719	204.0
1619575744.304651	207.0
1619575744.614793	205.0
1619575744.923238	211.0
1619575745.236786	213.0
1619575745.554205	213.0
1619575745.871165	214.0
1619575746.188801	217.0
1619575746.509394	220.0
1619575746.8332	222.0
1619575747.161369	221.0
