time	qlen
1619575811.949539	0.0
1619575811.965088	0.0
1619575811.978145	2.0
1619575811.992123	0.0
1619575812.005839	4.0
1619575812.019558	0.0
1619575812.033429	7.0
1619575812.047254	5.0
1619575812.061694	11.0
1619575812.075332	15.0
1619575812.090744	18.0
1619575812.105322	22.0
1619575812.119347	23.0
1619575812.133892	30.0
1619575812.147842	32.0
1619575812.16191	36.0
1619575812.175965	39.0
1619575812.191049	43.0
1619575812.20598	49.0
1619575812.220078	51.0
1619575812.234275	55.0
1619575812.249119	61.0
1619575812.2636	66.0
1619575812.278103	68.0
1619575812.292091	72.0
1619575812.30712	77.0
1619575812.321063	81.0
1619575812.3351	86.0
1619575812.349151	90.0
1619575812.36323	92.0
1619575812.377123	98.0
1619575812.391195	100.0
1619575812.404092	103.0
1619575812.418052	110.0
1619575812.432045	112.0
1619575812.446027	116.0
1619575812.459678	120.0
1619575812.474075	124.0
1619575812.488081	128.0
1619575812.501067	132.0
1619575812.514721	135.0
1619575812.528222	140.0
1619575812.542618	144.0
1619575812.55732	146.0
1619575812.57038	150.0
1619575812.584408	153.0
1619575812.59834	159.0
1619575812.612387	161.0
1619575812.625401	166.0
1619575812.639429	171.0
1619575812.653487	173.0
1619575812.666532	179.0
1619575812.679562	184.0
1619575812.693549	188.0
1619575812.707626	193.0
1619575812.722068	195.0
1619575812.736124	199.0
1619575812.75013	199.0
1619575812.764124	199.0
1619575812.777142	199.0
1619575812.792229	199.0
1619575812.805764	200.0
1619575812.819888	200.0
1619575812.83385	200.0
1619575812.848367	199.0
1619575812.862456	199.0
1619575812.876351	199.0
1619575812.889376	200.0
1619575812.904357	199.0
1619575812.918401	199.0
1619575812.93234	199.0
1619575812.946571	199.0
1619575812.960377	199.0
1619575812.9744	200.0
1619575812.988391	199.0
1619575813.002506	200.0
1619575813.01678	200.0
1619575813.031543	199.0
1619575813.045631	200.0
1619575813.05948	199.0
1619575813.073936	199.0
1619575813.088012	200.0
1619575813.101053	200.0
1619575813.116044	200.0
1619575813.129242	199.0
1619575813.143098	200.0
1619575813.158118	199.0
1619575813.172069	200.0
1619575813.187106	200.0
1619575813.202146	200.0
1619575813.21607	199.0
1619575813.230555	199.0
1619575813.244487	199.0
1619575813.258607	198.0
1619575813.27348	200.0
1619575813.28763	198.0
1619575813.300537	199.0
1619575813.314795	199.0
1619575813.328604	199.0
1619575813.342717	199.0
1619575813.357059	199.0
1619575813.371741	199.0
1619575813.386095	199.0
1619575813.400053	199.0
1619575813.414658	200.0
1619575813.428082	200.0
1619575813.442086	200.0
1619575813.456288	199.0
1619575813.46934	199.0
1619575813.483313	200.0
1619575813.498275	200.0
1619575813.513244	200.0
1619575813.527448	199.0
1619575813.541248	199.0
1619575813.556332	198.0
1619575813.570304	198.0
1619575813.585117	199.0
1619575813.600143	200.0
1619575813.614162	200.0
1619575813.628096	199.0
1619575813.643346	199.0
1619575813.65715	199.0
1619575813.6713	199.0
1619575813.684269	200.0
1619575813.698373	200.0
1619575813.71272	200.0
1619575813.726858	200.0
1619575813.74019	199.0
