time	rtt
1619265649.862599	5.08
1619265649.97159	12.7
1619265650.088735	10.3
1619265650.202807	16.9
1619265650.323833	16.9
1619265650.444649	14.4
1619265650.564065	13.4
1619265650.681588	16.0
1619265650.800771	15.6
1619265650.92177	15.7
1619265651.04175	15.7
1619265651.161627	15.6
1619265651.281084	15.7
1619265651.400819	16.5
1619265651.521507	15.4
1619265651.641548	16.4
1619265651.761645	16.3
1619265651.881747	16.2
1619265652.003102	16.2
1619265652.123295	16.4
1619265652.244276	15.4
1619265652.364585	14.3
1619265652.483726	16.6
1619265652.604327	14.1
1619265652.724088	14.2
1619265652.842777	16.3
1619265652.963379	11.9
1619265653.080949	13.0
1619265653.198786	17.3
1619265653.319633	12.3
1619265653.437322	16.9
1619265653.558067	14.6
1619265653.677062	16.3
1619265653.797993	15.7
1619265653.917269	15.7
1619265654.036987	15.2
1619265654.157648	15.1
1619265654.277044	16.3
1619265654.397161	16.1
1619265654.516685	14.4
1619265654.63486	14.9
1619265654.754549	15.4
1619265654.874462	14.9
1619265654.993522	17.0
1619265655.115654	13.9
1619265655.23452	14.6
1619265655.354179	14.9
1619265655.472986	15.3
1619265655.591543	15.7
1619265655.71251	15.9
1619265655.831554	16.6
1619265655.952407	14.6
1619265656.071827	15.2
1619265656.191089	15.5
1619265656.311981	15.0
1619265656.431365	15.1
1619265656.550225	12.4
1619265656.66727	15.8
1619265656.787793	15.0
1619265656.907598	16.5
1619265657.028147	15.2
1619265657.147728	15.4
1619265657.267475	14.8
1619265657.386502	15.7
1619265657.506264	14.6
1619265657.625164	16.1
1619265657.745822	14.7
1619265657.865539	16.5
1619265657.986423	15.7
1619265658.106646	17.0
1619265658.228309	13.0
1619265658.346995	13.9
1619265658.466132	15.6
1619265658.585647	17.2
1619265658.707506	15.7
1619265658.827356	15.3
1619265658.94678	15.0
1619265659.066951	14.0
1619265659.185584	15.2
1619265659.305058	15.4
1619265659.424909	14.2
1619265659.543967	15.5
1619265659.663622	16.8
1619265659.784019	15.3
1619265659.904239	354.0
1619265670.466755	448.0
1619265671.019531	467.0
1619265671.589442	466.0
1619265672.159852	489.0
1619265672.754373	512.0
1619265673.372317	503.0
1619265673.979194	537.0
1619265674.621057	551.0
1619265675.276459	563.0
1619265675.943362	588.0
1619265676.634355	599.0
1619265677.338916	598.0
1619265678.042551	633.0
1619265678.781094	648.0
1619265679.533991	379.0
1619265680.017178	29.0
1619265680.150474	29.6
1619265680.284492	15.7
1619265680.404899	17.3
1619265680.526998	21.5
1619265680.652013	25.1
1619265680.781816	25.8
1619265680.911696	30.0
1619265681.045921	32.8
1619265681.183148	33.3
1619265681.322254	18.5
1619265681.44525	21.2
1619265681.570734	23.6
1619265681.697699	27.5
1619265681.829737	27.5
1619265681.960815	31.2
1619265682.096446	25.6
1619265682.225631	13.1
1619265682.342299	14.1
1619265682.459862	16.1
1619265682.580281	18.7
1619265682.703269	20.6
1619265682.828169	21.5
1619265682.953362	12.7
1619265683.072136	16.0
1619265683.193208	18.2
1619265683.314699	18.1
1619265683.436787	19.9
1619265683.559976	11.5
1619265683.675163	12.7
1619265683.79248	15.0
1619265683.911554	19.9
1619265684.036202	21.4
1619265684.162835	21.5
1619265684.28787	11.6
1619265684.403554	16.0
1619265684.523563	17.7
1619265684.646243	19.0
1619265684.769431	21.0
1619265684.893564	13.7
1619265685.012148	16.9
1619265685.133174	18.0
1619265685.255777	18.3
1619265685.377517	12.1
1619265685.492997	15.7
1619265685.612256	17.1
1619265685.73362	20.0
1619265685.856972	19.7
1619265685.981013	24.4
1619265686.109325	12.7
1619265686.226023	15.1
1619265686.34543	17.1
1619265686.467201	17.7
1619265686.589686	12.0
1619265686.705064	13.4
1619265686.822345	16.4
1619265686.943177	17.4
1619265687.063979	21.8
1619265687.190115	19.6
1619265687.314058	12.0
1619265687.430299	14.4
1619265687.548748	16.0
1619265687.668365	20.7
1619265687.792962	19.6
1619265687.918618	20.7
1619265688.043967	11.3
1619265688.159417	16.5
1619265688.280423	18.1
1619265688.402435	17.8
1619265688.523248	19.7
1619265688.646512	21.7
1619265688.772709	6.04
1619265688.88329	10.6
1619265688.998667	14.1
1619265689.116561	14.7
1619265689.235901	16.9
1619265689.357783	19.2
1619265689.481676	20.3
1619265689.606619	23.2
1619265689.734662	11.3
1619265689.850554	15.1
1619265689.96963	689.0
1619265690.763516	683.0
1619265691.551148	709.0
1619265692.363883	718.0
1619265693.187769	733.0
1619265694.024675	742.0
1619265694.872985	756.0
1619265695.733719	768.0
1619265696.606897	791.0
1619265697.503476	804.0
1619265698.413409	817.0
1619265699.335436	612.0
1619265700.05228	6.65
1619265700.162581	8.71
1619265700.274842	8.15
1619265700.387317	11.6
1619265700.503133	13.3
1619265700.621337	9.51
1619265700.735493	9.45
1619265700.84849	11.0
1619265700.963537	9.89
1619265701.077765	13.1
1619265701.195179	13.3
1619265701.31184	13.9
1619265701.429516	11.0
1619265701.545397	11.6
1619265701.661493	11.1
1619265701.776453	14.2
1619265701.894013	9.6
1619265702.008245	12.9
1619265702.126037	11.7
1619265702.242408	12.3
1619265702.359033	6.95
1619265702.47055	11.3
1619265702.586772	11.6
1619265702.702767	13.2
1619265702.820392	14.6
1619265702.940238	8.8
1619265703.053044	9.92
1619265703.166743	9.57
1619265703.279241	7.83
1619265703.390842	8.23
1619265703.502701	10.3
1619265703.617927	8.52
1619265703.730399	9.56
1619265703.843402	8.31
1619265703.95602	10.6
1619265704.069868	11.5
1619265704.1857	11.6
1619265704.301414	11.5
1619265704.417018	9.86
1619265704.530729	10.4
1619265704.645947	12.0
1619265704.761927	10.5
1619265704.875893	11.8
1619265704.991883	11.3
1619265705.107083	12.1
1619265705.223741	10.9
1619265705.338681	11.2
1619265705.453985	11.6
1619265705.569104	11.7
1619265705.684374	10.2
1619265705.798905	9.39
1619265705.911928	11.9
1619265706.027704	9.86
1619265706.142338	9.83
1619265706.256025	11.1
1619265706.371441	11.0
1619265706.486173	9.34
1619265706.599857	10.3
1619265706.715014	9.69
1619265706.828373	11.1
1619265706.943896	12.8
1619265707.059963	10.5
1619265707.174245	9.92
1619265707.287785	11.1
1619265707.402192	12.1
1619265707.517529	11.0
1619265707.632672	12.8
1619265707.750842	12.0
1619265707.866057	11.6
1619265707.981598	11.2
1619265708.096914	11.4
1619265708.212996	10.9
1619265708.327768	10.9
1619265708.442642	11.0
1619265708.557028	10.4
1619265708.671139	10.2
1619265708.785925	10.6
1619265708.900892	9.65
1619265709.014858	11.0
1619265709.129605	9.92
