time	rtt
1619265484.393821	5.25
1619265484.504408	14.5
1619265484.624133	14.1
1619265484.742865	14.9
1619265484.861584	14.9
1619265484.980591	14.1
1619265485.099976	16.4
1619265485.220339	16.0
1619265485.341267	14.9
1619265485.460711	16.5
1619265485.581635	15.4
1619265485.700765	14.8
1619265485.819889	15.2
1619265485.939917	16.1
1619265486.060181	14.6
1619265486.179982	13.6
1619265486.298195	16.2
1619265486.41787	15.6
1619265486.538462	13.8
1619265486.656909	15.6
1619265486.776447	16.3
1619265486.896332	16.5
1619265487.018343	14.8
1619265487.138136	16.1
1619265487.25853	14.7
1619265487.37745	15.7
1619265487.497563	14.4
1619265487.617798	15.7
1619265487.738044	15.9
1619265487.859365	15.3
1619265487.978501	13.8
1619265488.097999	17.3
1619265488.220566	15.2
1619265488.340105	14.2
1619265488.458885	13.5
1619265488.577574	14.6
1619265488.69689	15.2
1619265488.815919	15.4
1619265488.935883	12.7
1619265489.05293	17.5
1619265489.173684	14.3
1619265489.293843	15.1
1619265489.413877	15.8
1619265489.533205	15.3
1619265489.652278	15.4
1619265489.771569	13.9
1619265489.890472	15.6
1619265490.010445	15.5
1619265490.131199	14.5
1619265490.250211	15.7
1619265490.371097	16.9
1619265490.492246	15.7
1619265490.611266	15.9
1619265490.731846	15.9
1619265490.85276	15.1
1619265490.97285	16.0
1619265491.092347	16.0
1619265491.212966	16.4
1619265491.333621	14.5
1619265491.452127	15.6
1619265491.5731	16.2
1619265491.694033	15.5
1619265491.812946	15.6
1619265491.933235	9.63
1619265492.048276	14.1
1619265492.167988	13.3
1619265492.285445	15.9
1619265492.407118	13.9
1619265492.525428	15.6
1619265492.644863	15.0
1619265492.764052	15.4
1619265492.883478	15.2
1619265493.003969	16.4
1619265493.123629	16.5
1619265493.243811	17.2
1619265493.364948	13.9
1619265493.483286	14.8
1619265493.602988	16.1
1619265493.722579	15.2
1619265493.841673	15.1
1619265493.960365	14.3
1619265494.078738	15.6
1619265494.199737	14.7
1619265494.318017	15.6
1619265494.43703	344.0
1619265494.884242	781.0
1619265495.768766	1656.0
1619265497.529736	3423.0
1619265521.268704	381.0
1619265521.754306	379.0
1619265522.236463	381.0
1619265522.721147	387.0
1619265523.211604	382.0
1619265523.697529	386.0
1619265524.18694	6784.0
1619265531.076232	3791.0
1619265534.973186	522.0
1619265535.599458	499.0
1619265536.202728	491.0
1619265536.800411	449.0
1619265537.353676	382.0
1619265537.840348	291.0
1619265538.235085	229.0
1619265538.568588	222.0
1619265538.895097	243.0
1619265539.242057	261.0
1619265539.607141	222.0
1619265539.934765	234.0
1619265540.273307	245.0
